"variable_name","variable_from","variable_accession","identifiable","variable_description"
"ID1","Aug 2015","phv00001",TRUE,"Subject initials"
"First name","Aug 2015","phv00002",TRUE,"Subject first name"
"Last name","Aug 2015","phv00003",TRUE,"Subject last name"
"Gender","Aug 2015","phv00004",FALSE,"Subject sex"
"Last period","Aug 2015","phv00005",FALSE,"Date of last menstruation"
"DOB","Aug 2015","phv00006",TRUE,"Date of birth"
"Age","Aug 2015","phv00007",FALSE,"Age at time of study"
"COB","Aug 2015","phv00008",FALSE,"County of birth"
"AOB","Aug 2015","phv00009",FALSE,"Altitude of birth"
"Father COF","Aug 2015","phv00010",FALSE,"Father's county of birth"
"Mother COB","Aug 2015","phv00011",FALSE,"Mother's county of birth"
"Occupation","Aug 2015","phv00012",FALSE,"Occupation"
"Phone","Aug 2015","phv00013",TRUE,"Phone number at time of study"
"Adress","Aug 2015","phv00014",TRUE,"Address at time of study"
"Height","Aug 2015","phv00015",FALSE,"Height in meters"
"Weight","Aug 2015","phv00016",FALSE,"Weight in kilograms"
"Health","Aug 2015","phv00017",FALSE,"Health issues"
"CMS Score","Aug 2015","phv00018",FALSE,"CMS score"
"Hcto 1","Aug 2015","phv00019",FALSE,"Hematocrit percentage measurement 1"
"Hcto 2","Aug 2015","phv00020",FALSE,"Hematocrit percentage measurement 2"
"Hcto av","Aug 2015","phv00021",FALSE,"Hematocrit percentage measurement average or sole measurement"
"Hb","Aug 2015","phv00022",FALSE,"Hemoglobin concentration"
"Smokes","Aug 2015","phv00023",FALSE,"Smoker status"
"Drinks (>2/day)","Aug 2015","phv00024",FALSE,"Greater than 2 alcoholic drinks per day"
"Trips (<3000, >7d)","Aug 2015","phv00025",FALSE,"Any trips to less than 3000 meters for greater than 7 days"
"Treatment","Aug 2015","phv00026",FALSE,"Any medication subject is taking"
"HR","Aug 2015","phv00027",FALSE,"Heart rate"
"SpO2","Aug 2015","phv00028",FALSE,"Oxygen saturation from PulseOx"
"Ab. Per.","Aug 2015","phv00029",FALSE,"Abdominal circumference"
"SBP 1","Aug 2015","phv00030",FALSE,"Systolic blood pressure measurement 1"
"SBP 2","Aug 2015","phv00031",FALSE,"Systolic blood pressure measurement 2"
"SBP av","Aug 2015","phv00032",FALSE,"Systolic blood pressure measurement average"
"DBP 1","Aug 2015","phv00033",FALSE,"Diastolic blood pressure measurement 1"
"DBP 2","Aug 2015","phv00034",FALSE,"Diastolic blood pressure measurement 2"
"DBP av","Aug 2015","phv00035",FALSE,"Diastolic blood pressure measurement average"
"Glucose","Aug 2015","phv00036",FALSE,"Glucose level"
"Insulin","Aug 2015","phv00037",FALSE,"Insulin level"
"Cholesterol","Aug 2015","phv00038",FALSE,"Cholesterol level"
"HDLc","Aug 2015","phv00039",FALSE,"HDL concentration"
"LDLc","Aug 2015","phv00040",FALSE,"LDL concentration"
"Triglycerides","Aug 2015","phv00041",FALSE,"Triglycerides level"
"Ferritin","Aug 2015","phv00042",FALSE,"Ferritin level"
"Iron","Aug 2015","phv00043",FALSE,"Iron level"
"Transferrin","Aug 2015","phv00044",FALSE,"Transferrin level"
"Total Testosterone","Aug 2015","phv00045",FALSE,"Total testosterone"
"Free Testosterone","Aug 2015","phv00046",FALSE,"Free testosterone"
"Age of first Menstration","Dec 2015","phv00047",FALSE,"Age of first menstruation"
"Height (m)","Dec 2015","phv00015",FALSE,"Height in meters"
"Weight (kg)","Dec 2015","phv00016",FALSE,"Weight in kilograms"
"Diagnostico EE","Dec 2015","phv00048",FALSE,"Date of excessive erythrocytosis diagnosis"
"Hb de diasnostico","Dec 2015","phv00049",FALSE,"Hemoglobin concentration at time of excessive erythrocytosis diagnosis"
"last m","Dec 2016 HVR TS","phv00005",FALSE,"Date of last menstruation"
"CONTROLES","dec2017_temp","phv00001",TRUE,"Subject initials"
"Hcto","dec2017_temp","phv00021",FALSE,"Hematocrit percentage measurement average or sole measurement"
"FC","dec2017_temp","phv00027",FALSE,"Heart rate"
"Talla","dec2017_temp","phv00050",FALSE,"Height in centimeters"
"Peso","dec2017_temp","phv00016",FALSE,"Weight in kilograms"
"IMC","dec2017_temp","phv00051",FALSE,"BMI"
